id,question,choices,answerKey,prompt
Mercury_7220990,Which factor will most likely cause a person to develop a fever?,"{'text': ['a leg muscle relaxing after exercise', 'a bacterial population in the bloodstream', 'several viral particles on the skin', 'carbohydrates being digested in the stomach'], 'label': ['A', 'B', 'C', 'D']}",B,"
    Question:
    Which factor will most likely cause a person to develop a fever?
Options:
A. a leg muscle relaxing after exercise
B. a bacterial population in the bloodstream
C. several viral particles on the skin
D. carbohydrates being digested in the stomach

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: B </s>"
MCAS_2007_8_5189,Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?,"{'text': ['carbon dioxide', 'food', 'protection', 'water'], 'label': ['A', 'B', 'C', 'D']}",B,"
    Question:
    Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?
Options:
A. carbon dioxide
B. food
C. protection
D. water

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: B </s>"
Mercury_SC_401169,"When a switch is used in an electrical circuit, the switch can","{'text': ['cause the charge to build.', 'increase and decrease the voltage.', 'cause the current to change direction.', 'stop and start the flow of current.'], 'label': ['A', 'B', 'C', 'D']}",D,"
    Question:
    When a switch is used in an electrical circuit, the switch can
Options:
A. cause the charge to build.
B. increase and decrease the voltage.
C. cause the current to change direction.
D. stop and start the flow of current.

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: D </s>"
MCAS_2004_8_27,Which of the following is an example of an assistive device?,"{'text': ['contact lens', 'motorcycle', 'raincoat', 'coffee pot'], 'label': ['A', 'B', 'C', 'D']}",A,"
    Question:
    Which of the following is an example of an assistive device?
Options:
A. contact lens
B. motorcycle
C. raincoat
D. coffee pot

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: A </s>"
NYSEDREGENTS_2006_8_10,"Rocks are classified as igneous, metamorphic, or sedimentary according to","{'text': ['their color', 'their shape', 'how they formed', 'the minerals they contain'], 'label': ['1', '2', '3', '4']}",3,"
    Question:
    Rocks are classified as igneous, metamorphic, or sedimentary according to
Options:
A. their color
B. their shape
C. how they formed
D. the minerals they contain

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: C </s>"
Mercury_7013388,A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate,"{'text': ['has a pleasant flavor.', 'is inexpensive to produce.', 'neutralizes digestive acid.', 'occurs naturally in the body.'], 'label': ['A', 'B', 'C', 'D']}",C,"
    Question:
    A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate
Options:
A. has a pleasant flavor.
B. is inexpensive to produce.
C. neutralizes digestive acid.
D. occurs naturally in the body.

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: C </s>"
Mercury_7179953,Which two body systems are directly involved in movement?,"{'text': ['muscular and skeletal', 'digestive and muscular', 'skeletal and respiratory', 'respiratory and digestive'], 'label': ['A', 'B', 'C', 'D']}",A,"
    Question:
    Which two body systems are directly involved in movement?
Options:
A. muscular and skeletal
B. digestive and muscular
C. skeletal and respiratory
D. respiratory and digestive

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: A </s>"
Mercury_7205118,Which change in the state of water particles causes the particles to become arranged in a fixed position?,"{'text': ['boiling', 'melting', 'freezing', 'evaporating'], 'label': ['A', 'B', 'C', 'D']}",C,"
    Question:
    Which change in the state of water particles causes the particles to become arranged in a fixed position?
Options:
A. boiling
B. melting
C. freezing
D. evaporating

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: C </s>"
MCAS_2016_8_13,Earth's core is primarily composed of which of the following materials?,"{'text': ['basalt', 'iron', 'magma', 'quartz'], 'label': ['A', 'B', 'C', 'D']}",B,"
    Question:
    Earth's core is primarily composed of which of the following materials?
Options:
A. basalt
B. iron
C. magma
D. quartz

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: B </s>"
Mercury_7283255,Which of the following events during meiosis contributes most to the variation within a species?,"{'text': ['pairing of chromosomes', 'creation of haploid gametes', 'segregation of alleles', 'separation of chromatids'], 'label': ['A', 'B', 'C', 'D']}",C,"
    Question:
    Which of the following events during meiosis contributes most to the variation within a species?
Options:
A. pairing of chromosomes
B. creation of haploid gametes
C. segregation of alleles
D. separation of chromatids

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: C </s>"
MCAS_2005_5_29,"Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?","{'text': ['plant decomposition', 'radioactive decay', 'water erosion', 'wind erosion'], 'label': ['A', 'B', 'C', 'D']}",A,"
    Question:
    Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?
Options:
A. plant decomposition
B. radioactive decay
C. water erosion
D. wind erosion

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: A </s>"
MCAS_2001_8_7,"When igneous rock is changed into metamorphic rock, which form of energy is this process?","{'text': ['heat', 'chemical', 'magnetic', 'light'], 'label': ['A', 'B', 'C', 'D']}",A,"
    Question:
    When igneous rock is changed into metamorphic rock, which form of energy is this process?
Options:
A. heat
B. chemical
C. magnetic
D. light

    [INST] Solve this Multiple Choice Question and provide the correct option out of four options(A,B,C,D) as the answer. [/INST]
    Answer: A </s>"
